timestamp, HR, acc_x, acc_y, acc_z
0805162343,103.0,-0.281,2.6521,8.3568
0805162344,103.0,-3.602,-2.682,11.851
0805162345,103.0,-7.791,-4.598,4.6862
0805162346,103.0,-8.374,-5.193,-1.369
0805162347,103.0,-5.834,-2.191,9.7683
0805162348,103.0,-11.66,-5.355,4.0697
0805162349,103.0,-7.386,-0.758,1.5703
0805162350,103.0,-5.642,-3.094,10.999
0805162351,103.0,-8.715,-5.743,3.7246
0805162352,104.0,-7.872,-2.168,3.3532
0805162352,102.0,0.1183,-1.999,6.3215
0805162353,105.0,-8.284,-2.522,6.3549
0805162354,107.0,-7.337,-0.732,3.0700
0805162355,97.0,-4.666,-4.331,5.6860
0805162356,103.0,-12.31,-0.275,2.0464
0805162357,106.0,-8.622,-3.427,0.5134
0805162358,107.0,-10.79,-0.551,3.0676
0805162359,107.0,-9.334,-1.356,4.3482
0805162400,107.0,-7.010,-0.773,1.8488
0805162401,102.0,-10.45,-0.730,2.4701
0805162402,102.0,-6.998,-4.186,3.6055
0805162402,102.0,-8.677,-0.554,2.3868
0805162403,99.0,-8.262,-0.718,2.5344
0805162404,99.0,-6.499,-4.788,6.0121
0805162405,99.0,-9.860,-0.101,1.8488
0805162406,99.0,-8.396,-0.178,2.7486
0805162407,99.0,-6.015,-4.650,5.2075
0805162408,98.0,-8.343,-0.040,1.1657
0805162409,98.0,-9.012,-0.908,2.0464
0805162410,98.0,-5.773,-4.481,5.6693
0805162411,96.0,-7.672,-0.089,2.4987
0805162411,95.0,-9.903,-1.363,3.0938
0805162412,94.0,-8.431,-1.956,5.2123
0805162413,84.0,-5.620,-0.668,2.0488
0805162414,84.0,-12.16,-1.963,2.9533
0805162415,78.0,-7.929,-1.863,3.3984
0805162416,75.0,-5.523,-1.094,2.6296
0805162417,75.0,-11.10,-1.472,3.1557
0805162418,72.0,-6.803,-3.072,4.9528
0805162419,72.0,-7.025,-0.737,2.1916
0805162420,72.0,-11.26,-1.687,3.0700
0805162420,71.0,-7.365,-3.127,3.2247
0805162421,71.0,-9.772,-0.873,0.9919
0805162422,71.0,-6.720,-2.129,2.9843
0805162423,71.0,-10.48,-1.065,3.1461
0805162424,71.0,-7.137,-0.639,2.0821
0805162425,71.0,-8.179,-0.463,3.5936
0805162426,71.0,-10.11,-0.080,3.0485
0805162427,71.0,-7.815,0.5050,2.2892
0805162428,71.0,-8.453,-0.382,2.9819
